"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"411",17,26,0.411,0.2294,0.0673,0.4768,0.3499,0.2853,0.2882,0.5461,0.4521
"412",17,27,0.4944,0.2759,0.2079,0.7551,0.3278,0.3263,0.6147,0.6692,0.355
"413",17,28,0.8838,0.4933,0.0882,0.2924,0.4365,0.2587,0.4431,0.4974,0.3982
"414",17,29,0.1611,0.0899,0.0565,0.5804,0.4447,0.2917,0.6811,0.6683,0.3516
"415",17,30,0.305,0.1702,0.0433,0.6098,0.2501,0.1856,0.5783,0.7032,0.3334
"416",17,31,0.1408,0.0786,0.02,0.5374,0.034,0.2557,0.7931,0.5714,0.2217
"417",17,32,0.5312,0.2965,0.0364,0.4718,0.172,0.122,0.3545,0.3981,0.1532
"418",17,33,0.3627,0.2024,0.0509,0.2942,0.382,0.2232,0.2178,0.3495,0.3223
"419",17,34,1.3369,0.7461,0.2647,0.6693,0.4771,0.5103,0.6582,0.5954,0.5941
"420",17,35,0.8492,0.474,0.1167,0.3721,0.3382,0.355,0.3428,0.3007,0.4019
"421",17,36,0.2414,0.1347,0.0413,0.389,0.3164,0.2036,0.3502,0.5366,0.3792
"422",17,37,1.0336,0.5769,0.1316,0.3788,0.5206,0.3273,0.4107,0.5323,0.5344
"423",17,38,0.4645,0.2592,0.0779,0.3999,0.3689,0.2267,0.3106,0.3924,0.3788
"424",17,39,0.6403,0.3573,0.1549,0.4544,0.4832,0.4777,0.3472,0.5,0.5545
"425",17,40,0.8172,0.4561,0.0793,0.4575,0.5029,0.2369,0.3908,0.5332,0.5351
"426",17,41,0.484,0.2701,0.0425,0.3201,0.2004,0.2954,0.325,0.3063,0.3121
"427",17,42,0.5674,0.3166,0.1278,0.5172,0.3822,0.3793,0.3307,0.4546,0.4164
"428",17,45,0.8848,0.4938,0.087,0.2945,0.3708,0.2873,0.3202,0.4283,0.4614
"429",17,46,0.5686,0.3173,0.0841,0.5592,0.1908,0.0663,0.4929,0.75,0.2571
"430",17,47,0.5426,0.3029,0.0562,0.3009,0.4227,0.2007,0.2549,0.4869,0.4757
"431",17,48,0.7745,0.4322,0.0962,0.3999,0.1506,0.342,0.1145,0.3102,0.2793
"432",17,49,0.3922,0.2189,0.0313,0.3862,0.4298,0.1756,0.3077,0.3976,0.2542
"433",17,50,0.2055,0.1147,0.027,0.2861,0.2839,0.1815,0.2918,0.3938,0.2383
"434",17,51,0.3552,0.1983,0.0422,0.3483,0.3389,0.2193,0.1832,0.4212,0.3041
"435",17,53,0.781,0.4359,0.1066,0.3268,0.2131,0.3438,0.3795,0.4338,0.4183
"436",17,54,0.1936,0.108,0.1057,0.6469,0.425,0.2234,0.5856,0.8613,0.559
"437",17,55,0.2944,0.1643,0.142,0.6856,0.4628,0.2421,0.5796,0.7516,0.4375
"438",17,56,0.2876,0.1605,0.0112,0.1552,0.1754,0.0143,0.1524,0.3188,0.1735
"439",17,72,0.0434,0.0242,0.0669,0.5798,0.6565,0.2515,0.5634,0.7574,0.6421
"440",19,1,0.3694,0.2062,0.1045,0.5056,0.3911,0.3392,0.5212,0.6753,0.5031
"441",19,4,1.0671,0.5955,0.1987,0.4025,0.2937,0.4753,0.3806,0.3554,0.4909
"442",19,5,0.8242,0.46,0.1073,0.3452,0.3516,0.3281,0.3572,0.3682,0.4501
"443",19,6,1.1924,0.6655,0.1775,0.5445,0.4035,0.4866,0.465,0.4188,0.4301
"444",19,8,0.3703,0.2067,0.0151,0.2107,0.1247,0.1766,0.1137,0.2948,0.2705
"445",19,12,0.8345,0.4658,0.0796,0.4156,0.3648,0.2849,0.2161,0.2433,0.246
"446",19,13,0.6137,0.3425,0.1263,0.4937,0.247,0.2367,0.5136,0.5044,0.3018
"447",19,16,0.5396,0.3012,0.0633,0.2569,0.2574,0.3039,0.2887,0.3103,0.3987
"448",19,17,0.9765,0.545,0.1821,0.5317,0.4727,0.371,0.406,0.5721,0.4603
"449",19,18,0.601,0.3355,0.118,0.4676,0.3393,0.3876,0.4557,0.4174,0.4754
"450",19,19,0.1721,0.0961,0.0454,0.3152,0.4279,0.2053,0.3739,0.5439,0.4633
"451",19,20,0.459,0.2562,0.0254,0.4263,0.2805,0.2676,0.4978,0.4423,0.3046
"452",19,21,0.3156,0.1762,0.1522,0.5351,0.4693,0.4057,0.2989,0.5864,0.4894
"453",19,22,0.8416,0.4697,0.2969,0.6546,0.4736,0.2561,0.5113,0.6693,0.4337
"454",19,23,0.293,0.1635,0.0856,0.376,0.3897,0.2258,0.329,0.3208,0.3269
"455",19,24,0.8762,0.489,0.2,0.5002,0.3689,0.3169,0.378,0.4208,0.3657
"456",19,25,0.7181,0.4008,0.0672,0.3435,0.2528,0.3434,0.1877,0.2565,0.2089
"457",19,26,0.2673,0.1492,0.0414,0.2704,0.3654,0.2354,0.3515,0.4024,0.5197
"458",19,27,0.4368,0.2438,0.0885,0.3777,0.3198,0.4115,0.3584,0.3442,0.4444
"459",19,28,0.7242,0.4042,0.1087,0.3167,0.5803,0.2712,0.4326,0.7065,0.7763
"460",19,29,0.7365,0.411,0.0918,0.4007,0.3603,0.2417,0.2344,0.4293,0.3628
