"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1661",81,38,0.3629,0.2025,0.0083,0.3029,0.1538,0.033,0.2699,0.4567,0.1868
"1662",81,39,0.5513,0.3077,0.0946,0.5122,0.3433,0.2945,0.2756,0.3938,0.2635
"1663",81,40,0.8068,0.4503,0.0078,0.2495,0.2267,0.0739,0.2796,0.2785,0.231
"1664",81,42,0.5415,0.3022,0.1099,0.6091,0.3159,0.3177,0.3075,0.4984,0.2923
"1665",81,45,1.0496,0.5858,0.0778,0.3348,0.305,0.368,0.1857,0.2264,0.2598
"1666",81,46,0.4971,0.2774,0.0084,0.2875,0.1528,0.1141,0.2808,0.3527,0.1438
"1667",81,47,0.5014,0.2798,0.0555,0.4883,0.165,0.106,0.4495,0.4957,0.1676
"1668",81,48,0.7095,0.396,0.0049,0.4958,0.0757,0.0676,0.4281,0.5714,0.1433
"1669",81,51,0.8798,0.491,0.0132,0.0636,0.6042,0.2555,0.2112,0.6678,0.7319
"1670",81,54,0.5961,0.3327,0.1038,0.5176,0.4503,0.2305,0.3178,0.5571,0.3917
"1671",81,55,0.5384,0.3005,0.0372,0.3248,0.2541,0.23,0.383,0.138,0.2928
"1672",81,72,0.0488,0.0272,0.0289,0.512,0.469,0.1898,0.492,0.746,0.5148
"1673",83,1,0.9234,0.5153,0.0767,0.3593,0.5372,0.2769,0.353,0.4682,0.5816
"1674",83,5,0.5372,0.2998,0.0142,0.343,0.2175,0.1349,0.3362,0.3427,0.3525
"1675",83,6,1.1006,0.6142,0.1585,0.388,0.4049,0.4532,0.3624,0.3858,0.4195
"1676",83,8,0.9612,0.5364,0.1442,0.2275,0.3051,0.1733,0.141,0.1952,0.1872
"1677",83,12,1.0144,0.5662,0.1014,0.4479,0.3933,0.3158,0.2848,0.4761,0.3914
"1678",83,13,0.4177,0.2331,0.0161,0.315,0.2509,0.1382,0.273,0.2338,0.1901
"1679",83,16,0.7897,0.4408,0.031,0.3683,0.3145,0.1977,0.3447,0.149,0.3368
"1680",83,17,0.3147,0.1756,0.0138,0.3359,0.2128,0.0857,0.349,0.3252,0.2159
"1681",83,18,0.4238,0.2365,0.0401,0.4023,0.3445,0.1932,0.2666,0.4352,0.2905
"1682",83,19,0.4197,0.2342,0.0182,0.3546,0.2148,0.1625,0.347,0.2355,0.2062
"1683",83,20,0.4531,0.2529,0,0,0,0,0,0,0
"1684",83,21,0.655,0.3655,0.0763,0.5138,0.3045,0.3835,0.2183,0.2502,0.2665
"1685",83,22,0.8928,0.4983,0.1464,0.4938,0.4178,0.2355,0.3335,0.159,0.26
"1686",83,26,0.2305,0.1287,0,0,NA,0,0,NA,NA
"1687",83,27,0.7442,0.4153,0.071,0.4461,0.4442,0.2521,0.2003,0.2066,0.2278
"1688",83,28,0.7707,0.4301,0.2138,0.5454,0.2161,0.4594,0.314,0.6295,0.5997
"1689",83,29,0.433,0.2416,0.014,0.405,0.2068,0.1254,0.3009,0.211,0.1916
"1690",83,30,0.5834,0.3256,0.0112,0.2843,0.246,0.1602,0.1975,0.0591,0.1639
"1691",83,31,0.2651,0.1479,0,0,0,0,0,0,0
"1692",83,36,0.8512,0.4751,0.1171,0.565,0.4869,0.3725,0.2315,0.511,0.4492
