"","COUNTYA","STATEA","Entropia","Entropia_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"2579",159,19,0.0594,0.0331,0.062,0.8683,0.3024,0.2704,0.8125,0.9444,0.3958
"2580",159,20,0.2283,0.1274,0.1022,0.55,0.39,0.3531,0.5021,0.5757,0.5466
"2581",159,21,0.0284,0.0158,0.1757,0.8272,0.8272,0.6194,0.9048,0,0.9048
"2582",159,26,0.4551,0.254,0.1806,0.5493,0.3761,0.3606,0.5578,0.5842,0.5513
"2583",159,27,0.0839,0.0468,0.0924,0.676,0.3908,0.522,0.6649,0.8,0.6146
"2584",159,28,0.7504,0.4188,0.1361,0.3402,0.6063,0.4352,0.4682,0.5647,0.6375
"2585",159,29,0.2323,0.1297,0.2999,0.6862,0.3823,0.3473,0.6967,0.7013,0.4805
"2586",159,31,0.0752,0.042,0.0777,0.5295,0.308,0.2969,0.5875,0.5429,0.4089
"2587",159,37,0.5177,0.2889,0.308,0.5693,0.4447,0.3477,0.5327,0.6305,0.5256
"2588",159,39,0.2269,0.1266,0.332,0.8038,0.4487,0.3752,0.6137,0.6577,0.4055
"2589",159,47,0.1901,0.1061,0.1303,0.4854,0.6529,0.3842,0.5835,0.854,0.8264
"2590",159,48,0.4134,0.2307,0.1512,0.6186,0.3645,0.2136,0.6248,0.713,0.4743
"2591",159,51,0.6796,0.3793,0.0493,0.2011,0.4665,0.3008,0.4033,0.5941,0.5661
"2592",161,13,0.5116,0.2855,0.2006,0.4889,0.4161,0.493,0.4909,0.4033,0.5833
"2593",161,17,0.5164,0.2882,0.2565,0.6628,0.3655,0.4091,0.5681,0.6729,0.4843
"2594",161,18,0.0792,0.0442,0.0487,0.2901,0.4515,0.183,0.32,0.5643,0.4343
"2595",161,19,0.0469,0.0262,0.1138,0.8623,0.5356,0.3966,0.7955,0.85,0.6091
"2596",161,20,0.6867,0.3832,0.1434,0.5433,0.2951,0.3842,0.203,0.5345,0.3806
